Date,Time,Latitude,Longitude
2013-06-14,07:42:16,35.97579,-5.63937
2013-06-14,07:47:15,35.97543,-5.63673
2013-06-14,07:52:15,35.97526,-5.63401
2013-06-14,07:57:15,35.97518,-5.63117
2013-06-14,08:02:15,35.97509,-5.62826
2013-06-14,08:08:07,35.97491,-5.62481
2013-06-14,08:13:07,35.97478,-5.62171
2013-06-14,08:18:07,35.97459,-5.61872
2013-06-14,08:23:06,35.97437,-5.6156
2013-06-14,08:28:06,35.97415,-5.61243
2013-06-14,08:33:09,35.97395,-5.60902
2013-06-14,08:38:07,35.97387,-5.60564
2013-06-14,08:43:08,35.97388,-5.60223
2013-06-14,08:48:08,35.97372,-5.59892
2013-06-14,08:53:07,35.97322,-5.59565
2013-06-14,08:58:07,35.97285,-5.59219
2013-06-14,09:03:07,35.97235,-5.58868
2013-06-14,09:08:07,35.9718,-5.5853
2013-06-14,09:13:06,35.97136,-5.58198
2013-06-14,09:18:07,35.97099,-5.57862
2013-06-14,09:23:07,35.97072,-5.57529
2013-06-14,09:28:06,35.9705,-5.57194
2013-06-14,09:33:07,35.97019,-5.56872
2013-06-14,09:38:07,35.97005,-5.56575
2013-06-14,09:43:07,35.97031,-5.56309
2013-06-14,09:48:07,35.97142,-5.56063
2013-06-14,09:53:08,35.97279,-5.55815
2013-06-14,09:58:07,35.97346,-5.55537
2013-06-14,10:03:08,35.97392,-5.55263
2013-06-14,10:08:07,35.97469,-5.55014
2013-06-14,10:13:07,35.97565,-5.54788
2013-06-14,10:18:07,35.97615,-5.54567
2013-06-14,10:23:07,35.97648,-5.5433
2013-06-14,10:28:07,35.97699,-5.54082
2013-06-14,10:33:07,35.97794,-5.53834
2013-06-14,10:38:07,35.97917,-5.53592
2013-06-14,10:43:08,35.98025,-5.53348
2013-06-14,10:48:07,35.98138,-5.53102
2013-06-14,10:53:08,35.98285,-5.52876
2013-06-14,10:58:07,35.98471,-5.52671
2013-06-14,11:03:08,35.98647,-5.52437
2013-06-14,11:08:08,35.98815,-5.52172
2013-06-14,11:13:07,35.98972,-5.51917
2013-06-14,11:18:07,35.99151,-5.5167
2013-06-14,11:23:08,35.99345,-5.51445
2013-06-14,11:28:08,35.99547,-5.51227
2013-06-14,11:33:09,35.99753,-5.51005
2013-06-14,11:38:07,35.99941,-5.50779
2013-06-14,11:43:07,36.00096,-5.50532
2013-06-14,11:48:07,36.00224,-5.50294
2013-06-14,11:53:08,36.00356,-5.50065
2013-06-14,11:58:09,36.00464,-5.49808
2013-06-14,12:03:07,36.00554,-5.49522
2013-06-14,12:08:07,36.00646,-5.4924
2013-06-14,12:13:09,36.00733,-5.48977
2013-06-14,12:18:08,36.00834,-5.4873
2013-06-14,12:23:08,36.00938,-5.48458
2013-06-14,12:28:07,36.01062,-5.48175
2013-06-14,12:33:08,36.01184,-5.47895
2013-06-14,12:38:08,36.01301,-5.47611
2013-06-14,12:43:07,36.01422,-5.47335
2013-06-14,12:48:08,36.01521,-5.47044
2013-06-14,12:53:09,36.01604,-5.46727
2013-06-14,12:58:08,36.01674,-5.46404
2013-06-14,13:03:08,36.01738,-5.46089
2013-06-14,13:08:08,36.01798,-5.45781
2013-06-14,13:13:09,36.01873,-5.45504
2013-06-14,13:18:07,36.01947,-5.45282
2013-06-14,13:23:08,36.02,-5.45049
2013-06-14,13:28:08,36.02037,-5.44798
2013-06-14,13:33:09,36.02074,-5.44547
2013-06-14,13:38:08,36.02103,-5.44295
2013-06-14,13:43:07,36.02139,-5.44024
2013-06-14,13:48:08,36.02176,-5.43764
2013-06-14,13:53:08,36.02198,-5.43506
2013-06-14,13:58:08,36.02208,-5.43265
2013-06-14,14:03:07,36.02214,-5.43028
2013-06-14,14:08:07,36.02212,-5.42786
2013-06-14,14:13:08,36.02201,-5.42557
2013-06-14,14:18:09,36.02184,-5.42325
2013-06-14,14:23:07,36.02176,-5.421
2013-06-14,14:28:07,36.02168,-5.41881
2013-06-14,14:33:09,36.02155,-5.4165
2013-06-14,14:38:09,36.02144,-5.41417
2013-06-14,14:43:08,36.02167,-5.41199
2013-06-14,14:48:09,36.02216,-5.40996
2013-06-14,14:53:09,36.02232,-5.40812
