Date,Time,Latitude,Longitude
2012-02-16,09:00:42,35.94181,-5.60957
2012-02-16,09:10:42,35.94118,-5.60786
2012-02-16,09:20:42,35.94067,-5.60608
2012-02-16,09:30:42,35.94023,-5.60412
2012-02-16,09:40:42,35.93986,-5.60183
2012-02-16,09:50:42,35.93917,-5.59898
2012-02-16,10:00:42,35.93828,-5.59576
2012-02-16,10:10:42,35.9375,-5.59214
2012-02-16,10:20:42,35.93684,-5.58799
2012-02-16,10:30:42,35.93603,-5.5833
2012-02-16,10:40:42,35.93531,-5.57824
2012-02-16,10:50:42,35.93489,-5.57269
2012-02-16,11:00:42,35.93461,-5.56657
2012-02-16,11:10:42,35.9345,-5.56012
2012-02-16,11:20:42,35.93458,-5.55345
2012-02-16,11:30:42,35.93487,-5.54654
2012-02-16,11:40:42,35.9352,-5.53923
2012-02-16,11:50:42,35.93595,-5.53159
2012-02-16,11:51:04,35.936,-5.53129
2012-02-16,12:00:42,35.93697,-5.52374
2012-02-16,12:10:42,35.93826,-5.51574
2012-02-16,12:20:42,35.94,-5.50746
2012-02-16,12:21:04,35.94007,-5.50716
2012-02-16,12:29:51,35.94215,-5.49953
2012-02-16,12:30:42,35.94235,-5.49893
